"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","810.855,083",""
"2011","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","891.479,083",""
"2011","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","706.366,083",""
"2011","Belgium","Oil and petroleum products","Total","Thousand tonnes","53.863,800",""
"2011","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","7.336,000",""
"2011","Czechia","Oil and petroleum products","Total","Thousand tonnes","10.132,000",""
"2011","Denmark","Oil and petroleum products","Total","Thousand tonnes","9.464,000",""
"2011","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","123.500,000",""
"2011","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.164,290",""
"2011","Ireland","Oil and petroleum products","Total","Thousand tonnes","8.561,000",""
"2011","Greece","Oil and petroleum products","Total","Thousand tonnes","24.882,000",""
"2011","Spain","Oil and petroleum products","Total","Thousand tonnes","79.352,000",""
"2011","France","Oil and petroleum products","Total","Thousand tonnes","106.437,000",""
"2011","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.550,000",""
"2011","Italy","Oil and petroleum products","Total","Thousand tonnes","90.225,000",""
"2011","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.663,000",""
"2011","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.071,000",""
"2011","Lithuania","Oil and petroleum products","Total","Thousand tonnes","10.188,000",""
"2011","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.934,841",""
"2011","Hungary","Oil and petroleum products","Total","Thousand tonnes","8.220,000",""
"2011","Malta","Oil and petroleum products","Total","Thousand tonnes","2.360,000",""
"2011","Netherlands","Oil and petroleum products","Total","Thousand tonnes","141.989,394",""
"2011","Austria","Oil and petroleum products","Total","Thousand tonnes","13.700,758",""
"2011","Poland","Oil and petroleum products","Total","Thousand tonnes","29.668,000",""
"2011","Portugal","Oil and petroleum products","Total","Thousand tonnes","14.762,000",""
"2011","Romania","Oil and petroleum products","Total","Thousand tonnes","8.005,000",""
"2011","Slovenia","Oil and petroleum products","Total","Thousand tonnes","3.270,000",""
"2011","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.320,000",""
"2011","Finland","Oil and petroleum products","Total","Thousand tonnes","17.122,000",""
"2011","Sweden","Oil and petroleum products","Total","Thousand tonnes","27.114,000",""
"2011","Iceland","Oil and petroleum products","Total","Thousand tonnes","695,000",""
"2011","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2011","Norway","Oil and petroleum products","Total","Thousand tonnes","5.579,000",""
"2011","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","80.624,000",""
"2011","Montenegro","Oil and petroleum products","Total","Thousand tonnes","316,000",""
"2011","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.331,000",""
"2011","Albania","Oil and petroleum products","Total","Thousand tonnes","1.170,000",""
"2011","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.951,000",""
"2011","Turkey","Oil and petroleum products","Total","Thousand tonnes","36.081,000",""
"2011","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","637,000",""
"2011","Moldova","Oil and petroleum products","Total","Thousand tonnes","803,000",""
"2011","Ukraine","Oil and petroleum products","Total","Thousand tonnes","13.350,000",""
"2011","Georgia","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","811.077,405",""
"2012","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","897.706,405",""
"2012","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","706.041,405",""
"2012","Belgium","Oil and petroleum products","Total","Thousand tonnes","54.155,000",""
"2012","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.116,000",""
"2012","Czechia","Oil and petroleum products","Total","Thousand tonnes","10.099,000",""
"2012","Denmark","Oil and petroleum products","Total","Thousand tonnes","9.979,000",""
"2012","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","125.662,000",""
"2012","Estonia","Oil and petroleum products","Total","Thousand tonnes","2.276,990",""
"2012","Ireland","Oil and petroleum products","Total","Thousand tonnes","8.150,000",""
"2012","Greece","Oil and petroleum products","Total","Thousand tonnes","28.205,000",""
"2012","Spain","Oil and petroleum products","Total","Thousand tonnes","78.853,000",""
"2012","France","Oil and petroleum products","Total","Thousand tonnes","102.008,000",""
"2012","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.033,000",""
"2012","Italy","Oil and petroleum products","Total","Thousand tonnes","85.711,000",""
"2012","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.630,000",""
"2012","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.138,000",""
"2012","Lithuania","Oil and petroleum products","Total","Thousand tonnes","10.105,000",""
"2012","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.858,574",""
"2012","Hungary","Oil and petroleum products","Total","Thousand tonnes","7.742,000",""
"2012","Malta","Oil and petroleum products","Total","Thousand tonnes","2.248,000",""
"2012","Netherlands","Oil and petroleum products","Total","Thousand tonnes","146.559,969",""
"2012","Austria","Oil and petroleum products","Total","Thousand tonnes","13.659,872",""
"2012","Poland","Oil and petroleum products","Total","Thousand tonnes","29.602,000",""
"2012","Portugal","Oil and petroleum products","Total","Thousand tonnes","14.298,000",""
"2012","Romania","Oil and petroleum products","Total","Thousand tonnes","7.971,000",""
"2012","Slovenia","Oil and petroleum products","Total","Thousand tonnes","3.438,000",""
"2012","Slovakia","Oil and petroleum products","Total","Thousand tonnes","6.640,000",""
"2012","Finland","Oil and petroleum products","Total","Thousand tonnes","16.445,000",""
"2012","Sweden","Oil and petroleum products","Total","Thousand tonnes","27.494,000",""
"2012","Iceland","Oil and petroleum products","Total","Thousand tonnes","688,000",""
"2012","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","Norway","Oil and petroleum products","Total","Thousand tonnes","5.689,000",""
"2012","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","86.629,000",""
"2012","Montenegro","Oil and petroleum products","Total","Thousand tonnes","294,000",""
"2012","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.252,000",""
"2012","Albania","Oil and petroleum products","Total","Thousand tonnes","982,000",""
"2012","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.423,000",""
"2012","Turkey","Oil and petroleum products","Total","Thousand tonnes","39.804,000",""
"2012","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","587,000",""
"2012","Moldova","Oil and petroleum products","Total","Thousand tonnes","745,000",""
"2012","Ukraine","Oil and petroleum products","Total","Thousand tonnes","9.796,000",""
"2012","Georgia","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","801.221,075",""
"2013","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","888.230,075",""
"2013","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","699.153,075",""
"2013","Belgium","Oil and petroleum products","Total","Thousand tonnes","56.422,900",""
"2013","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.353,000",""
"2013","Czechia","Oil and petroleum products","Total","Thousand tonnes","9.923,000",""
"2013","Denmark","Oil and petroleum products","Total","Thousand tonnes","12.286,000",""
"2013","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","128.216,000",""
"2013","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.679,510",""
"2013","Ireland","Oil and petroleum products","Total","Thousand tonnes","7.988,000",""
"2013","Greece","Oil and petroleum products","Total","Thousand tonnes","27.074,000",""
"2013","Spain","Oil and petroleum products","Total","Thousand tonnes","77.896,000",""
"2013","France","Oil and petroleum products","Total","Thousand tonnes","99.990,000",""
"2013","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.051,000",""
"2013","Italy","Oil and petroleum products","Total","Thousand tonnes","77.952,000",""
"2013","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.335,000",""
"2013","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.300,000",""
"2013","Lithuania","Oil and petroleum products","Total","Thousand tonnes","10.674,000",""
"2013","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.815,271",""
"2013","Hungary","Oil and petroleum products","Total","Thousand tonnes","7.852,000",""
"2013","Malta","Oil and petroleum products","Total","Thousand tonnes","2.341,000",""
"2013","Netherlands","Oil and petroleum products","Total","Thousand tonnes","143.039,909",""
"2013","Austria","Oil and petroleum products","Total","Thousand tonnes","13.981,485",""
"2013","Poland","Oil and petroleum products","Total","Thousand tonnes","27.850,000",""
"2013","Portugal","Oil and petroleum products","Total","Thousand tonnes","15.851,000",""
"2013","Romania","Oil and petroleum products","Total","Thousand tonnes","7.808,000",""
"2013","Slovenia","Oil and petroleum products","Total","Thousand tonnes","3.260,000",""
"2013","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.243,000",""
"2013","Finland","Oil and petroleum products","Total","Thousand tonnes","18.094,000",""
"2013","Sweden","Oil and petroleum products","Total","Thousand tonnes","23.945,000",""
"2013","Iceland","Oil and petroleum products","Total","Thousand tonnes","705,000",""
"2013","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","Norway","Oil and petroleum products","Total","Thousand tonnes","6.778,000",""
"2013","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","87.009,000",""
"2013","Montenegro","Oil and petroleum products","Total","Thousand tonnes","286,000",""
"2013","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.063,000",""
"2013","Albania","Oil and petroleum products","Total","Thousand tonnes","1.498,000",""
"2013","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.535,000",""
"2013","Turkey","Oil and petroleum products","Total","Thousand tonnes","40.074,000",""
"2013","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","599,000",""
"2013","Moldova","Oil and petroleum products","Total","Thousand tonnes","790,000",""
"2013","Ukraine","Oil and petroleum products","Total","Thousand tonnes","7.910,000",""
"2013","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.064,000",""
"2014","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","796.854,932",""
"2014","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","879.893,932",""
"2014","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","688.648,932",""
"2014","Belgium","Oil and petroleum products","Total","Thousand tonnes","58.143,800",""
"2014","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.110,000",""
"2014","Czechia","Oil and petroleum products","Total","Thousand tonnes","10.764,000",""
"2014","Denmark","Oil and petroleum products","Total","Thousand tonnes","11.892,000",""
"2014","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","126.436,000",""
"2014","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.903,800",""
"2014","Ireland","Oil and petroleum products","Total","Thousand tonnes","7.717,000",""
"2014","Greece","Oil and petroleum products","Total","Thousand tonnes","29.491,000",""
"2014","Spain","Oil and petroleum products","Total","Thousand tonnes","79.493,000",""
"2014","France","Oil and petroleum products","Total","Thousand tonnes","98.617,000",""
"2014","Croatia","Oil and petroleum products","Total","Thousand tonnes","3.932,000",""
"2014","Italy","Oil and petroleum products","Total","Thousand tonnes","71.291,000",""
"2014","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.299,000",""
"2014","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.328,000",""
"2014","Lithuania","Oil and petroleum products","Total","Thousand tonnes","9.277,000",""
"2014","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.729,397",""
"2014","Hungary","Oil and petroleum products","Total","Thousand tonnes","8.938,000",""
"2014","Malta","Oil and petroleum products","Total","Thousand tonnes","2.302,000",""
"2014","Netherlands","Oil and petroleum products","Total","Thousand tonnes","140.001,191",""
"2014","Austria","Oil and petroleum products","Total","Thousand tonnes","13.672,744",""
"2014","Poland","Oil and petroleum products","Total","Thousand tonnes","28.698,000",""
"2014","Portugal","Oil and petroleum products","Total","Thousand tonnes","14.966,000",""
"2014","Romania","Oil and petroleum products","Total","Thousand tonnes","9.289,000",""
"2014","Slovenia","Oil and petroleum products","Total","Thousand tonnes","3.707,000",""
"2014","Slovakia","Oil and petroleum products","Total","Thousand tonnes","6.593,000",""
"2014","Finland","Oil and petroleum products","Total","Thousand tonnes","17.681,000",""
"2014","Sweden","Oil and petroleum products","Total","Thousand tonnes","26.583,000",""
"2014","Iceland","Oil and petroleum products","Total","Thousand tonnes","746,000",""
"2014","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2014","Norway","Oil and petroleum products","Total","Thousand tonnes","5.515,000",""
"2014","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","83.039,000",""
"2014","Montenegro","Oil and petroleum products","Total","Thousand tonnes","294,000",""
"2014","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.099,000",""
"2014","Albania","Oil and petroleum products","Total","Thousand tonnes","1.485,000",""
"2014","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.620,000",""
"2014","Turkey","Oil and petroleum products","Total","Thousand tonnes","39.925,000",""
"2014","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.691,000",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","558,000",""
"2014","Moldova","Oil and petroleum products","Total","Thousand tonnes","781,000",""
"2014","Ukraine","Oil and petroleum products","Total","Thousand tonnes","8.111,000",""
"2014","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.130,000",""
"2015","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","848.509,117",""
"2015","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","931.342,645",""
"2015","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","731.097,201",""
"2015","Belgium","Oil and petroleum products","Total","Thousand tonnes","59.167,400",""
"2015","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.972,000",""
"2015","Czechia","Oil and petroleum products","Total","Thousand tonnes","11.057,000",""
"2015","Denmark","Oil and petroleum products","Total","Thousand tonnes","13.901,916",""
"2015","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","128.711,000",""
"2015","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.682,000",""
"2015","Ireland","Oil and petroleum products","Total","Thousand tonnes","9.025,000",""
"2015","Greece","Oil and petroleum products","Total","Thousand tonnes","31.420,000",""
"2015","Spain","Oil and petroleum products","Total","Thousand tonnes","83.682,000",""
"2015","France","Oil and petroleum products","Total","Thousand tonnes","101.342,000",""
"2015","Croatia","Oil and petroleum products","Total","Thousand tonnes","4.521,000",""
"2015","Italy","Oil and petroleum products","Total","Thousand tonnes","80.536,000",""
"2015","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.468,000",""
"2015","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.706,000",""
"2015","Lithuania","Oil and petroleum products","Total","Thousand tonnes","11.080,000",""
"2015","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.673,132",""
"2015","Hungary","Oil and petroleum products","Total","Thousand tonnes","9.369,000",""
"2015","Malta","Oil and petroleum products","Total","Thousand tonnes","2.719,000",""
"2015","Netherlands","Oil and petroleum products","Total","Thousand tonnes","154.194,595",""
"2015","Austria","Oil and petroleum products","Total","Thousand tonnes","14.185,074",""
"2015","Poland","Oil and petroleum products","Total","Thousand tonnes","31.953,000",""
"2015","Portugal","Oil and petroleum products","Total","Thousand tonnes","17.730,000",""
"2015","Romania","Oil and petroleum products","Total","Thousand tonnes","9.718,000",""
"2015","Slovenia","Oil and petroleum products","Total","Thousand tonnes","4.035,000",""
"2015","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.562,000",""
"2015","Finland","Oil and petroleum products","Total","Thousand tonnes","16.179,000",""
"2015","Sweden","Oil and petroleum products","Total","Thousand tonnes","27.920,000",""
"2015","Iceland","Oil and petroleum products","Total","Thousand tonnes","836,000",""
"2015","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2015","Norway","Oil and petroleum products","Total","Thousand tonnes","6.497,000",""
"2015","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","82.833,528",""
"2015","Montenegro","Oil and petroleum products","Total","Thousand tonnes","302,000",""
"2015","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.142,000",""
"2015","Albania","Oil and petroleum products","Total","Thousand tonnes","1.193,000",""
"2015","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.889,000",""
"2015","Turkey","Oil and petroleum products","Total","Thousand tonnes","48.475,000",""
"2015","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.807,000",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","704,000",""
"2015","Moldova","Oil and petroleum products","Total","Thousand tonnes","831,000",""
